occur,dead,ser_inj,inj,num_of_cam
4,0,0,2,1
2,0,0,2,1
3,0,1,1,1
3,0,1,1,1
2,0,1,1,1
4,0,0,4,1
4,0,1,2,1
4,0,1,2,1
3,0,1,2,1
3,0,1,2,1
3,0,1,2,1
3,0,2,1,2
3,0,2,1,2
3,0,2,1,2
3,0,2,1,2
2,1,1,0,2
5,0,2,2,2
4,0,2,2,2
5,0,2,3,2
3,1,1,1,2
4,0,2,3,2
3,0,3,0,2
4,0,3,1,3
5,0,3,1,3
9,0,1,7,3
4,0,3,1,3
7,0,2,4,3
5,0,3,1,3
5,0,3,1,3
2,2,0,0,3
4,0,3,1,3
10,0,2,5,3
7,0,2,5,4
3,2,0,1,4
4,1,2,0,4
4,1,2,1,4
4,0,4,0,4
6,0,3,3,4
4,1,2,1,4
10,0,3,4,5
5,0,4,1,5
8,0,3,4,5
5,0,4,1,5
6,0,4,1,5
8,0,4,3,6
5,0,5,0,6
11,0,3,6,6
8,0,4,3,6
5,1,3,1,7
5,0,5,0,7
7,2,1,3,7
7,1,2,5,7
8,0,4,4,7
3,2,2,0,7
7,0,5,1,7
7,0,5,1,8
7,0,5,1,8
9,0,4,5,9
7,1,3,3,9
10,0,5,3,10
10,0,5,4,10
6,2,3,0,10
7,1,4,2,10
11,0,5,5,10
13,0,4,8,11
10,1,4,5,11
8,1,5,2,11
8,2,4,1,11
12,0,6,5,11
9,1,5,3,12
15,0,5,9,12
15,1,4,8,12
14,0,5,10,12
12,1,4,8,12
8,2,5,1,12
8,1,7,0,12
12,1,6,5,13
13,1,6,5,13
13,0,6,10,13
13,0,7,8,15
13,0,10,1,15
11,2,6,3,16
12,2,6,3,17
16,1,7,7,17
9,4,4,1,17
12,0,10,3,24
18,1,6,11,33
16,0,10,5,46
11,3,7,0,51
24,0,7,16,54
20,2,7,7,96
12,4,5,4,101
